log,error_type,loc,cc,nested_depth,params,object_params,fan_in,fan_out,project
test_56.log,Symbol/Lookup,3,2,0,0,0,3,0,JsonBox
test_1.log,PASS,37,23,2,2,2,0,1,JsonBox
test_28.log,PASS,3,2,0,1,1,0,2,JsonBox
test_12.log,PASS,28,20,2,1,1,0,1,JsonBox
test_65.log,Symbol/Lookup,4,1,0,3,1,1,1,JsonBox
test_65.log,Override/Inheritance,4,1,0,3,1,1,1,JsonBox
test_65.log,Syntactic,4,1,0,3,1,1,1,JsonBox
test_45.log,Symbol/Lookup,9,2,1,1,1,3,1,JsonBox
test_5.log,Syntactic,13,12,1,2,2,0,0,JsonBox
test_11.log,PASS,26,18,2,1,1,2,1,JsonBox
test_21.log,PASS,4,1,0,1,1,0,1,JsonBox
test_38.log,This/Non-Static Member/Using Misuse,3,1,0,0,0,0,0,JsonBox
test_54.log,PASS,3,2,0,0,0,3,0,JsonBox
test_49.log,Symbol/Lookup,3,1,0,0,0,3,1,JsonBox
test_30.log,Operator/Call,3,1,0,1,0,0,1,JsonBox
test_30.log,Syntactic,3,1,0,1,0,0,1,JsonBox
test_36.log,Symbol/Lookup,3,1,0,0,0,0,0,JsonBox
test_36.log,This/Non-Static Member/Using Misuse,3,1,0,0,0,0,0,JsonBox
test_7.log,Symbol/Lookup,11,5,1,1,1,0,0,JsonBox
test_7.log,Syntactic,11,5,1,1,1,0,0,JsonBox
test_52.log,PASS,3,3,0,1,0,1,0,JsonBox
test_9.log,Symbol/Lookup,3,1,0,0,0,0,0,JsonBox
test_9.log,Override/Inheritance,3,1,0,0,0,0,0,JsonBox
test_9.log,Qualifier/Specifier Missuse,3,1,0,0,0,0,0,JsonBox
test_9.log,Syntactic,3,1,0,0,0,0,0,JsonBox
test_42.log,PASS,3,1,0,0,0,3,1,JsonBox
test_34.log,PASS,3,2,0,0,0,0,0,JsonBox
test_60.log,PASS,9,2,1,1,0,2,1,JsonBox
test_19.log,PASS,4,1,0,1,0,0,1,JsonBox
test_3.log,PASS,48,12,2,1,1,0,0,JsonBox
test_32.log,Symbol/Lookup,3,1,0,0,0,0,0,JsonBox
test_44.log,Symbol/Lookup,28,9,2,0,0,0,1,JsonBox
test_33.log,This/Non-Static Member/Using Misuse,3,1,0,0,0,0,0,JsonBox
test_53.log,Symbol/Lookup,9,2,1,1,0,2,1,JsonBox
test_4.log,Symbol/Lookup,9,3,1,2,2,0,0,JsonBox
test_57.log,Symbol/Lookup,9,2,1,1,1,2,1,JsonBox
test_25.log,PASS,30,9,3,1,1,1,6,JsonBox
test_70.log,Functions/Call Resolution,21,12,2,2,2,0,0,JsonBox
test_40.log,This/Non-Static Member/Using Misuse,3,1,0,0,0,0,0,JsonBox
test_513.log,PASS,18,9,1,2,1,1,0,re2
test_141.log,Symbol/Lookup,1,1,0,0,0,0,1,re2
test_141.log,Override/Inheritance,1,1,0,0,0,0,1,re2
test_141.log,Syntactic,1,1,0,0,0,0,1,re2
test_448.log,Lexical,5,1,0,0,0,0,1,re2
test_179.log,PASS,1,1,0,0,0,0,0,re2
test_437.log,Lexical,5,3,0,2,2,1,0,re2
test_266.log,Symbol/Lookup,5,2,0,3,0,0,0,re2
test_490.log,Symbol/Lookup,6,2,1,0,0,1,2,re2
test_490.log,Incomplete Type,6,2,1,0,0,1,2,re2
test_490.log,Override/Inheritance,6,2,1,0,0,1,2,re2
test_97.log,PASS,3,1,0,2,0,0,0,re2
test_258.log,Symbol/Lookup,15,4,0,4,4,0,4,re2
test_293.log,Access Control,13,7,0,2,2,0,5,re2
test_411.log,Symbol/Lookup,71,30,5,0,0,1,13,re2
test_411.log,Access Control,71,30,5,0,0,1,13,re2
test_423.log,Symbol/Lookup,13,4,1,2,2,2,3,re2
test_423.log,Type Conversion/Reference Binding,13,4,1,2,2,2,3,re2
test_467.log,Symbol/Lookup,3,3,0,2,2,0,0,re2
test_316.log,PASS,91,26,3,3,2,2,6,re2
test_502.log,Symbol/Lookup,5,1,0,0,0,2,1,re2
test_502.log,Construction/Initialization,5,1,0,0,0,2,1,re2
test_358.log,Symbol/Lookup,5,1,0,0,0,1,0,re2
test_358.log,Abstract-Type Instantiation,5,1,0,0,0,1,0,re2
test_299.log,Lexical,7,2,0,1,1,1,2,re2
test_509.log,Symbol/Lookup,36,10,2,1,1,2,7,re2
test_509.log,Access Control,36,10,2,1,1,2,7,re2
test_509.log,Functions/Call Resolution,36,10,2,1,1,2,7,re2
test_275.log,Functions/Call Resolution,14,5,0,4,0,2,1,re2
test_89.log,PASS,3,1,0,0,0,0,0,re2
test_594.log,PASS,13,2,0,1,1,0,1,re2
test_444.log,Lexical,6,2,0,0,0,3,0,re2
test_58.log,Symbol/Lookup,6,1,1,2,1,0,1,re2
test_58.log,Lexical,6,1,1,2,1,0,1,re2
test_58.log,Syntactic,6,1,1,2,1,0,1,re2
test_595.log,Syntactic,3,1,0,2,2,0,1,re2
test_291.log,PASS,3,1,0,1,1,5,0,re2
test_245.log,Symbol/Lookup,8,3,0,0,0,1,2,re2
test_245.log,Override/Inheritance,8,3,0,0,0,1,2,re2
test_245.log,Syntactic,8,3,0,0,0,1,2,re2
test_245.log,Incomplete Type,8,3,0,0,0,1,2,re2
test_245.log,Access Control,8,3,0,0,0,1,2,re2
test_161.log,Symbol/Lookup,4,1,0,0,0,5,0,re2
test_161.log,Type Conversion/Reference Binding,4,1,0,0,0,5,0,re2
test_161.log,Access Control,4,1,0,0,0,5,0,re2
test_16.log,Symbol/Lookup,1,1,0,0,0,1,0,re2
test_16.log,Access Control,1,1,0,0,0,1,0,re2
test_23.log,PASS,1,1,0,1,0,2,0,re2
test_192.log,Symbol/Lookup,34,18,1,18,18,0,1,re2
test_507.log,PASS,61,27,2,4,3,1,8,re2
test_205.log,PASS,51,6,1,2,1,1,0,re2
test_172.log,PASS,41,5,1,1,1,0,9,re2
test_232.log,PASS,36,7,1,2,2,1,9,re2
test_128.log,PASS,1,1,0,0,0,8,0,re2
test_470.log,Type Conversion/Reference Binding,4,2,0,0,0,1,0,re2
test_352.log,Deleted/Special Member,4,1,0,1,1,0,0,re2
test_419.log,Symbol/Lookup,65,16,3,2,0,1,0,re2
test_265.log,This/Non-Static Member/Using Misuse,34,11,4,4,3,3,1,re2
test_265.log,Syntactic,34,11,4,4,3,3,1,re2
test_517.log,Symbol/Lookup,5,6,0,1,0,1,0,re2
test_414.log,Symbol/Lookup,56,18,4,6,5,1,4,re2
test_579.log,Symbol/Lookup,46,14,4,1,1,1,6,re2
test_579.log,Syntactic,46,14,4,1,1,1,6,re2
test_255.log,Symbol/Lookup,10,2,1,4,3,0,1,re2
test_583.log,Symbol/Lookup,7,2,0,1,1,1,0,re2
test_337.log,Symbol/Lookup,5,1,0,2,1,1,0,re2
test_337.log,Type Conversion/Reference Binding,5,1,0,2,1,1,0,re2
test_337.log,Access Control,5,1,0,2,1,1,0,re2
test_227.log,Symbol/Lookup,14,9,1,3,2,1,1,re2
test_185.log,Symbol/Lookup,3,1,0,5,0,0,0,re2
test_510.log,Symbol/Lookup,9,4,1,0,0,1,4,re2
test_510.log,Access Control,9,4,1,0,0,1,4,re2
test_510.log,This/Non-Static Member/Using Misuse,9,4,1,0,0,1,4,re2
test_139.log,PASS,1,1,0,0,0,2,0,re2
test_288.log,Lexical,3,1,0,0,0,0,0,re2
test_471.log,PASS,5,2,0,1,1,0,1,re2
test_545.log,Symbol/Lookup,12,3,0,2,2,1,2,re2
test_456.log,Symbol/Lookup,3,1,0,2,2,0,2,re2
test_456.log,Override/Inheritance,3,1,0,2,2,0,2,re2
test_456.log,Syntactic,3,1,0,2,2,0,2,re2
test_375.log,PASS,29,9,2,1,1,1,1,re2
test_272.log,PASS,48,19,2,5,0,6,0,re2
test_43.log,Symbol/Lookup,6,1,1,1,1,0,0,re2
test_443.log,Lexical,4,1,0,0,0,4,0,re2
test_2.log,Symbol/Lookup,1,1,0,0,0,0,0,re2
test_497.log,Symbol/Lookup,10,3,2,5,1,0,0,re2
test_497.log,Access Control,10,3,2,5,1,0,0,re2
test_37.log,Symbol/Lookup,1,1,0,1,0,1,0,re2
test_353.log,Syntactic,1,1,0,0,0,1,0,re2
test_246.log,Symbol/Lookup,20,6,2,1,1,1,0,re2
test_246.log,Syntactic,20,6,2,1,1,1,0,re2
test_489.log,Symbol/Lookup,33,18,4,1,1,1,7,re2
test_489.log,Construction/Initialization,33,18,4,1,1,1,7,re2
test_489.log,Lexical,33,18,4,1,1,1,7,re2
test_544.log,Incomplete Type,12,3,0,2,2,1,1,re2
test_544.log,Access Control,12,3,0,2,2,1,1,re2
test_279.log,Functions/Call Resolution,9,4,0,4,0,0,1,re2
test_224.log,Symbol/Lookup,3,1,0,2,1,0,0,re2
test_224.log,Access Control,3,1,0,2,1,0,0,re2
test_202.log,PASS,20,10,1,3,0,4,0,re2
test_531.log,Symbol/Lookup,99,37,3,3,3,1,15,re2
test_531.log,Access Control,99,37,3,3,3,1,15,re2
test_457.log,PASS,121,42,3,3,2,1,5,re2
test_77.log,PASS,3,1,0,2,1,0,1,re2
test_350.log,Type Conversion/Reference Binding,5,3,0,1,1,1,0,re2
test_176.log,Symbol/Lookup,3,1,0,1,1,0,0,re2
test_220.log,Symbol/Lookup,4,1,0,0,0,0,0,re2
test_220.log,Access Control,4,1,0,0,0,0,0,re2
test_214.log,Symbol/Lookup,3,1,0,0,0,0,1,re2
test_214.log,Override/Inheritance,3,1,0,0,0,0,1,re2
test_214.log,Syntactic,3,1,0,0,0,0,1,re2
test_381.log,PASS,15,4,2,5,1,0,1,re2
test_41.log,Lexical,15,5,1,4,1,0,0,re2
test_121.log,PASS,1,1,0,0,0,1,0,re2
test_29.log,Symbol/Lookup,1,1,0,1,0,1,0,re2
test_243.log,Symbol/Lookup,17,7,0,0,0,0,4,re2
test_68.log,PASS,3,1,0,1,0,0,0,re2
test_114.log,PASS,1,1,0,0,0,5,0,re2
test_332.log,Symbol/Lookup,3,1,0,0,0,3,0,re2
test_332.log,Syntactic,3,1,0,0,0,3,0,re2
test_145.log,Access Control,1,1,0,0,0,3,0,re2
test_563.log,Symbol/Lookup,8,3,0,1,1,1,2,re2
test_563.log,Type Conversion/Reference Binding,8,3,0,1,1,1,2,re2
test_15.log,Symbol/Lookup,1,1,0,1,1,1,0,re2
test_15.log,Syntactic,1,1,0,1,1,1,0,re2
test_66.log,PASS,3,1,0,0,0,0,0,re2
test_47.log,PASS,1,1,0,0,0,0,1,re2
test_91.log,PASS,3,1,0,0,0,0,0,re2
test_329.log,Symbol/Lookup,3,1,0,0,0,2,2,re2
test_244.log,PASS,5,2,0,0,0,1,1,re2
test_35.log,Symbol/Lookup,1,1,0,1,0,1,0,re2
test_434.log,Lexical,1,1,0,0,0,0,0,re2
test_39.log,Symbol/Lookup,1,1,0,0,0,1,0,re2
test_39.log,Override/Inheritance,1,1,0,0,0,1,0,re2
test_39.log,Syntactic,1,1,0,0,0,1,0,re2
test_98.log,Symbol/Lookup,1,1,0,1,1,0,0,re2
test_170.log,PASS,5,1,0,2,2,20,0,re2
test_24.log,Symbol/Lookup,1,1,0,0,0,1,0,re2
test_24.log,Syntactic,1,1,0,0,0,1,0,re2
test_503.log,Lexical,47,15,3,0,0,2,5,re2
test_74.log,PASS,6,2,0,0,0,6,0,re2
test_331.log,Symbol/Lookup,3,1,0,3,3,1,1,re2
test_331.log,Access Control,3,1,0,3,3,1,1,re2
test_386.log,Lexical,39,6,1,2,1,0,14,re2
test_499.log,Symbol/Lookup,35,11,2,4,1,1,9,re2
test_499.log,Construction/Initialization,35,11,2,4,1,1,9,re2
test_499.log,Access Control,35,11,2,4,1,1,9,re2
test_474.log,PASS,6,3,0,1,1,0,0,re2
test_318.log,PASS,4,1,0,2,2,0,0,re2
test_514.log,Symbol/Lookup,31,11,4,3,1,1,1,re2
test_190.log,Symbol/Lookup,28,17,1,18,18,0,1,re2
test_113.log,PASS,1,1,0,1,0,3,0,re2
test_438.log,Symbol/Lookup,4,1,0,1,1,0,0,re2
test_592.log,Symbol/Lookup,3,1,0,1,1,0,0,re2
test_592.log,Abstract-Type Instantiation,3,1,0,1,1,0,0,re2
test_592.log,Syntactic,3,1,0,1,1,0,0,re2
test_592.log,Templates/Generics,3,1,0,1,1,0,0,re2
test_592.log,Lexical,3,1,0,1,1,0,0,re2
test_181.log,PASS,1,1,0,0,0,0,0,re2
test_213.log,Symbol/Lookup,3,1,0,1,1,1,0,re2
test_213.log,Abstract-Type Instantiation,3,1,0,1,1,1,0,re2
test_144.log,Symbol/Lookup,1,1,0,0,0,5,0,re2
test_144.log,Access Control,1,1,0,0,0,5,0,re2
test_533.log,Symbol/Lookup,135,55,3,1,1,1,9,re2
test_533.log,Construction/Initialization,135,55,3,1,1,1,9,re2
test_498.log,Symbol/Lookup,7,1,0,2,1,0,0,re2
test_14.log,Symbol/Lookup,1,1,0,0,0,2,0,re2
test_369.log,Access Control,22,11,1,2,2,2,4,re2
test_515.log,PASS,25,6,2,3,3,8,2,re2
test_392.log,Symbol/Lookup,5,1,1,2,1,1,1,re2
test_392.log,Override/Inheritance,5,1,1,2,1,1,1,re2
test_392.log,This/Non-Static Member/Using Misuse,5,1,1,2,1,1,1,re2
test_392.log,Syntactic,5,1,1,2,1,1,1,re2
test_22.log,Symbol/Lookup,1,1,0,0,0,1,0,re2
test_22.log,Operator/Call,1,1,0,0,0,1,0,re2
test_22.log,Syntactic,1,1,0,0,0,1,0,re2
test_72.log,PASS,3,1,0,0,0,0,0,re2
test_164.log,PASS,1,1,0,0,0,7,0,re2
test_63.log,Lexical,7,1,0,2,1,0,0,re2
test_51.log,Lexical,11,3,1,3,2,0,1,re2
test_18.log,Symbol/Lookup,1,1,0,0,0,1,0,re2
test_261.log,PASS,12,5,1,3,0,1,0,re2
test_397.log,Symbol/Lookup,25,10,1,0,0,2,5,re2
test_264.log,PASS,16,6,3,1,1,3,0,re2
test_432.log,Symbol/Lookup,3,1,0,1,0,0,0,re2
test_516.log,Symbol/Lookup,9,3,1,2,2,2,1,re2
test_549.log,Symbol/Lookup,7,1,0,1,1,1,1,re2
test_580.log,Lexical,60,17,2,6,3,1,9,re2
test_8.log,Symbol/Lookup,4,2,0,3,3,0,0,re2
test_570.log,PASS,27,8,1,1,0,3,1,re2
test_262.log,Symbol/Lookup,240,84,5,6,3,5,16,re2
test_135.log,Symbol/Lookup,1,1,0,0,0,0,0,re2
test_465.log,Symbol/Lookup,13,6,2,2,2,0,0,re2
test_465.log,Access Control,13,6,2,2,2,0,0,re2
test_334.log,Symbol/Lookup,6,2,0,0,0,0,2,re2
test_334.log,Access Control,6,2,0,0,0,0,2,re2
test_520.log,PASS,23,11,2,3,3,4,5,re2
test_562.log,Symbol/Lookup,34,12,3,0,0,2,1,re2
test_562.log,Access Control,34,12,3,0,0,2,1,re2
test_274.log,Symbol/Lookup,15,5,0,3,0,0,1,re2
test_236.log,Symbol/Lookup,3,1,0,1,0,1,0,re2
test_461.log,PASS,1,1,0,1,0,1,0,re2
test_50.log,Symbol/Lookup,3,1,0,1,0,0,0,re2
test_50.log,Lexical,3,1,0,1,0,0,0,re2
test_84.log,Symbol/Lookup,18,4,1,1,0,0,3,re2
test_84.log,Override/Inheritance,18,4,1,1,0,0,3,re2
test_84.log,Syntactic,18,4,1,1,0,0,3,re2
test_59.log,Symbol/Lookup,29,5,2,5,4,0,2,re2
test_59.log,Lexical,29,5,2,5,4,0,2,re2
test_59.log,Syntactic,29,5,2,5,4,0,2,re2
test_201.log,Access Control,13,3,1,0,0,3,0,re2
test_137.log,Symbol/Lookup,1,1,0,1,1,14,0,re2
test_511.log,Symbol/Lookup,8,1,0,0,0,2,3,re2
test_511.log,Construction/Initialization,8,1,0,0,0,2,3,re2
test_511.log,This/Non-Static Member/Using Misuse,8,1,0,0,0,2,3,re2
test_280.log,Symbol/Lookup,9,4,0,4,0,0,1,re2
test_342.log,Functions/Call Resolution,3,1,0,3,2,0,1,re2
test_229.log,Symbol/Lookup,9,3,1,3,3,2,1,re2
test_229.log,This/Non-Static Member/Using Misuse,9,3,1,3,3,2,1,re2
test_229.log,Syntactic,9,3,1,3,3,2,1,re2
test_376.log,PASS,30,6,2,0,0,2,2,re2
test_6.log,PASS,1,1,0,0,0,2,0,re2
test_554.log,Symbol/Lookup,5,1,0,0,0,2,0,re2
test_554.log,Access Control,5,1,0,0,0,2,0,re2
test_453.log,Lexical,45,10,1,8,4,1,5,re2
test_543.log,Symbol/Lookup,15,5,2,0,0,2,1,re2
test_543.log,Incomplete Type,15,5,2,0,0,2,1,re2
test_543.log,Access Control,15,5,2,0,0,2,1,re2
test_491.log,Symbol/Lookup,5,2,0,1,0,1,1,re2
test_491.log,This/Non-Static Member/Using Misuse,5,2,0,1,0,1,1,re2
test_469.log,Access Control,5,1,0,2,2,0,1,re2
test_469.log,Operator/Call,5,1,0,2,2,0,1,re2
test_326.log,Symbol/Lookup,35,12,1,1,1,2,10,re2
test_326.log,Override/Inheritance,35,12,1,1,1,2,10,re2
test_326.log,Deleted/Special Member,35,12,1,1,1,2,10,re2
test_326.log,Type Conversion/Reference Binding,35,12,1,1,1,2,10,re2
test_326.log,Access Control,35,12,1,1,1,2,10,re2
test_62.log,PASS,8,1,0,1,0,1,0,re2
test_160.log,Type Conversion/Reference Binding,4,1,0,0,0,5,0,re2
test_495.log,Symbol/Lookup,32,17,1,3,2,1,10,re2
test_495.log,Construction/Initialization,32,17,1,3,2,1,10,re2
test_495.log,Access Control,32,17,1,3,2,1,10,re2
test_99.log,Symbol/Lookup,1,1,0,0,0,34,0,re2
test_99.log,Access Control,1,1,0,0,0,34,0,re2
test_389.log,PASS,5,1,1,1,0,2,0,re2
test_476.log,PASS,11,3,0,3,3,1,1,re2
test_178.log,PASS,3,1,0,1,0,0,0,re2
test_609.log,Lexical,19,3,0,1,1,0,0,re2
test_349.log,Lexical,59,36,2,2,2,1,17,re2
test_27.log,Symbol/Lookup,1,1,0,1,0,1,0,re2
test_27.log,Syntactic,1,1,0,1,0,1,0,re2
test_173.log,PASS,1,1,0,0,0,0,0,re2
test_412.log,Symbol/Lookup,85,19,1,0,0,1,13,re2
test_26.log,Symbol/Lookup,1,1,0,0,0,1,0,re2
test_26.log,Syntactic,1,1,0,0,0,1,0,re2
test_252.log,Symbol/Lookup,4,1,0,4,3,0,1,re2
test_367.log,PASS,15,5,1,4,2,2,0,re2
test_347.log,Symbol/Lookup,10,4,0,3,2,4,2,re2
test_347.log,Type Conversion/Reference Binding,10,4,0,3,2,4,2,re2
test_347.log,Access Control,10,4,0,3,2,4,2,re2
test_55.log,PASS,10,2,1,1,1,0,1,re2
test_451.log,Lexical,4,2,0,0,0,0,0,re2
test_67.log,PASS,3,1,0,0,0,0,0,re2
test_552.log,Symbol/Lookup,6,1,0,1,1,1,2,re2
test_493.log,Symbol/Lookup,10,3,0,0,0,1,5,re2
test_493.log,Construction/Initialization,10,3,0,0,0,1,5,re2
test_493.log,Access Control,10,3,0,0,0,1,5,re2
test_494.log,Symbol/Lookup,4,1,0,1,1,6,1,re2
test_494.log,This/Non-Static Member/Using Misuse,4,1,0,1,1,6,1,re2
test_494.log,Syntactic,4,1,0,1,1,6,1,re2
test_304.log,PASS,10,2,1,4,2,4,3,re2
test_566.log,PASS,4,1,0,3,1,2,0,re2
test_109.log,Symbol/Lookup,4,1,0,0,0,6,1,re2
test_250.log,PASS,9,3,1,0,0,1,2,re2
test_512.log,Symbol/Lookup,40,13,1,2,1,3,2,re2
test_512.log,Type Conversion/Reference Binding,40,13,1,2,1,3,2,re2
test_512.log,Access Control,40,13,1,2,1,3,2,re2
test_175.log,Symbol/Lookup,1,1,0,0,0,0,0,re2
test_237.log,Symbol/Lookup,3,1,0,0,0,2,0,re2
test_259.log,Symbol/Lookup,35,17,3,1,1,2,0,re2
test_168.log,Symbol/Lookup,5,1,0,2,2,4,0,re2
test_578.log,Symbol/Lookup,20,7,2,6,5,1,3,re2
test_406.log,Symbol/Lookup,57,21,3,0,0,1,10,re2
test_406.log,Incomplete Type,57,21,3,0,0,1,10,re2
test_406.log,Override/Inheritance,57,21,3,0,0,1,10,re2
test_604.log,Lexical,3,1,0,1,1,0,0,re2
test_148.log,Access Control,1,1,0,0,0,0,0,re2
test_222.log,Type Conversion/Reference Binding,39,31,2,5,2,0,2,re2
test_222.log,Syntactic,39,31,2,5,2,0,2,re2
test_71.log,PASS,3,1,0,0,0,0,1,re2
test_462.log,Symbol/Lookup,1,1,0,0,0,3,0,re2
test_285.log,Lexical,3,1,1,1,1,8,0,re2
test_297.log,Symbol/Lookup,7,2,0,3,0,3,4,re2
test_536.log,Symbol/Lookup,8,3,1,0,0,0,0,re2
test_536.log,Operator/Call,8,3,1,0,0,0,0,re2
test_324.log,PASS,29,9,1,3,3,2,1,re2
test_48.log,PASS,4,1,0,0,0,5,0,re2
test_198.log,Symbol/Lookup,3,1,0,0,0,0,0,re2
test_146.log,Access Control,1,1,0,0,0,2,0,re2
test_464.log,Symbol/Lookup,1,1,0,1,1,0,0,re2
test_464.log,Syntactic,1,1,0,1,1,0,0,re2
test_401.log,PASS,11,3,1,2,1,2,4,re2
test_478.log,Symbol/Lookup,3,1,0,1,0,1,0,re2
test_346.log,Symbol/Lookup,5,1,0,2,2,1,0,re2
test_346.log,Type Conversion/Reference Binding,5,1,0,2,2,1,0,re2
test_346.log,Access Control,5,1,0,2,2,1,0,re2
test_346.log,Syntactic,5,1,0,2,2,1,0,re2
test_524.log,Lexical,6,3,0,1,1,1,1,re2
test_564.log,Symbol/Lookup,7,1,0,0,0,0,0,re2
test_541.log,Incomplete Type,3,1,0,0,0,0,0,re2
test_541.log,Access Control,3,1,0,0,0,0,0,re2
test_267.log,Templates/Generics,6,2,0,3,1,0,0,re2
test_292.log,Access Control,20,10,1,2,2,3,5,re2
test_433.log,Lexical,1,1,0,0,0,3,0,re2
test_298.log,Symbol/Lookup,7,2,0,0,0,1,4,re2
test_298.log,Access Control,7,2,0,0,0,1,4,re2
test_298.log,This/Non-Static Member/Using Misuse,7,2,0,0,0,1,4,re2
test_556.log,Incomplete Type,5,1,0,0,0,1,0,re2
test_556.log,Access Control,5,1,0,0,0,1,0,re2
test_188.log,Symbol/Lookup,5,4,0,0,0,0,0,re2
test_402.log,Symbol/Lookup,7,2,0,0,0,2,3,re2
test_402.log,Access Control,7,2,0,0,0,2,3,re2
test_431.log,Symbol/Lookup,8,6,0,1,1,1,1,re2
test_431.log,Construction/Initialization,8,6,0,1,1,1,1,re2
test_431.log,Access Control,8,6,0,1,1,1,1,re2
test_424.log,Symbol/Lookup,3,1,0,1,1,0,1,re2
test_424.log,Access Control,3,1,0,1,1,0,1,re2
test_565.log,Symbol/Lookup,6,2,0,3,2,1,0,re2
test_79.log,PASS,4,1,0,1,0,0,1,re2
test_69.log,Access Control,3,1,0,1,1,1,0,re2
test_212.log,Symbol/Lookup,7,1,0,5,4,1,0,re2
test_212.log,Functions/Call Resolution,7,1,0,5,4,1,0,re2
test_212.log,Abstract-Type Instantiation,7,1,0,5,4,1,0,re2
test_17.log,Symbol/Lookup,1,1,0,1,0,1,0,re2
test_169.log,PASS,5,1,0,2,2,3,0,re2
test_553.log,Symbol/Lookup,6,1,0,1,1,1,2,re2
test_553.log,Access Control,6,1,0,1,1,1,2,re2
test_306.log,Lexical,10,2,0,4,2,1,2,re2
test_207.log,PASS,18,8,3,2,0,0,0,re2
test_208.log,Lexical,19,4,2,1,0,0,1,re2
test_223.log,Symbol/Lookup,4,1,0,1,1,1,0,re2
test_64.log,PASS,16,3,2,0,0,0,2,re2
test_282.log,Symbol/Lookup,19,6,1,4,0,0,1,re2
test_260.log,Incomplete Type,37,11,2,3,2,2,2,re2
test_260.log,Access Control,37,11,2,3,2,2,2,re2
test_162.log,Symbol/Lookup,4,1,0,0,0,2,0,re2
test_162.log,Syntactic,4,1,0,0,0,2,0,re2
test_537.log,Symbol/Lookup,11,6,1,1,1,2,1,re2
test_537.log,Syntactic,11,6,1,1,1,2,1,re2
test_78.log,PASS,3,1,0,2,1,0,1,re2
test_117.log,PASS,1,1,0,0,0,2,0,re2
